IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-20927	1720	GDSC	DB14792	131634760	AZD5991	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-21233	K58772419	CTRP	DB14980	44137675	AZD6482	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20952	1917	GDSC	NA	54761306	AZD6738	SSc	Other	DNA damage response inhibitor	DNA related agent
sig-20886	1022	GDSC	DB12242	11152667	AZD7762	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21369	K86525559	CTRP	DB12242	11152667	AZD7762	SSc	CHK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21370	K86525559	PRISM	DB12242	11152667	AZD7762	SSc	CHK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-20894	1059	GDSC	DB12774	25262965	AZD8055	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21301	K69932463	CTRP	DB12774	25262965	AZD8055	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21302	K69932463	PRISM	DB12774	25262965	AZD8055	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21161	K37687095	PRISM	DB06061	16666708	AZD8330	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21410	K98572433	PRISM	NA	11488320	AZD8931	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21371	K86787118	CTRP	DB06733	6436223	BAFILOMYCIN A1	SSc	NA	ATPase inhibitor	ATP related agent
sig-21264	K63923597	CTRP	DB11747	11497983	BARASERTIB	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21265	K63923597	PRISM	NA	16007391	BARASERTIB-HQPA	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21102	K20545304	PRISM	DB12651	400010	BARDOXOLONE	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-21239	K59437938	CTRP	DB05983	139058496	BARDOXOLONE METHYL	SSc	NA	ROS/RNS modulator	ROS/RNS modulator
sig-21357	K82818427	PRISM	DB03880	5362422	BATIMASTAT	SSc	Other	Proteolysis inhibitor	Other
sig-21306	K70463136	PRISM	NA	67377767	BAY-87-2243	SSc	Other	Hypoxia response inhibitor	HSP inhibitor
sig-21407	K97810537	PRISM	DB00394	21700	BECLOMETHASONE-DIPROPIONATE	SSc	glucocorticoid receptor agonist	Glucocorticoid receptor agonist	Glucocorticoid receptor agonist
